,SubjectID,TestType,TotalTrials,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,Mono,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,Threshold,Std
20,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,21,32:55.3,1,,,2,0,2.961,21,0,4.152,126,-56,6,0,3,10,21,8,22,16,8,1,17,12,19,3,20,17,1,17,13.12,3.2594489969333855
21,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,22,33:05.3,1,4.904763221740723,0.8307632217407228,1,0,7.265,22,1,4.074,0,0,5,0,11,7,13,12,16,1,29,6,25,16,20,17,1,17,26,17,13.12,3.2594489969333855
22,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,23,33:15.9,1,,,2,0,5.916,23,0,4.104,306,32,6,0,25,10,26,1,12,4,3,3,4,8,9,16,20,17,1,17,13.12,3.2594489969333855
23,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,24,33:26.2,1,5.482391119003296,0.5713911190032963,1,0,5.984,24,1,4.911,90,32,6,0,22,7,6,2,3,4,29,6,18,12,25,3,20,17,1,17,13.12,3.2594489969333855
24,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,25,33:37.1,1,5.434926033,0.7919260330200197,1,0,7.524,25,1,4.643,108,0,6,0,14,7,1,6,27,11,29,12,9,3,20,4,26,17,11,17,13.12,3.2594489969333855
25,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,26,33:47.7,1,5.242431163787842,0.4844311637878418,1,0,6.607,26,1,4.758,90,32,5,0,22,10,26,3,8,12,18,16,30,4,20,17,1,17,11,17,13.12,3.2594489969333855
26,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,27,33:58.7,1,,,2,0,6.904,27,0,4.968,162,32,7,0,23,7,1,11,27,16,22,4,4,5,30,12,10,6,20,17,13.12,3.2594489969333855
27,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,28,34:10.0,1,,,2,0,5.854,28,0,4.322,54,-56,5,0,2,7,21,2,8,11,29,16,30,3,20,17,1,17,26,17,13.12,3.2594489969333855
28,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,29,34:20.2,0,8.553476095199585,,4,0,6.785,29,0,4.606,234,-32,6,0,9,14,1,4,22,3,14,8,16,11,20,2,26,17,11,17,13.12,3.2594489969333855
29,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,30,34:31.3,1,,,2,0,3.042,30,0,4.523,36,0,4,0,12,15,22,6,29,12,19,5,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
30,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,31,34:42.3,1,,,2,0,6.501,31,0,4.814,126,56,4,0,28,7,20,5,16,12,9,8,1,17,26,17,11,17,6,17,13.12,3.2594489969333855
31,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,32,34:53.6,1,6.8244829177856445,1.945482917785645,1,0,5.241,32,1,4.879,306,32,6,0,25,9,6,11,13,4,15,2,8,12,5,1,20,17,1,17,13.12,3.2594489969333855
32,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,33,35:04.7,1,5.333722114562988,0.6537221145629886,1,0,7.186,33,1,4.68,270,-56,7,0,5,9,21,2,27,4,22,6,23,11,4,1,30,16,20,17,13.12,3.2594489969333855
33,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,34,35:15.0,1,,,2,0,2.363,34,0,4.577,252,0,7,0,18,7,6,8,2,1,22,16,28,2,4,5,19,3,20,17,13.12,3.2594489969333855
34,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,35,35:25.9,1,4.8838419914245605,0.5058419914245604,1,0,7.845,35,1,4.378,234,32,5,0,24,14,1,3,2,2,16,5,25,4,20,17,26,17,11,17,13.12,3.2594489969333855
35,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,36,35:36.7,1,4.772478818893433,0.6364788188934325,1,0,5.834,36,1,4.136,54,-56,5,0,2,9,21,4,28,11,9,3,20,12,1,17,26,17,11,17,13.12,3.2594489969333855
36,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,37,35:47.2,1,,,2,0,6.285,37,0,4.548,0,0,5,0,11,9,13,12,8,5,17,16,20,8,1,17,26,17,11,17,13.12,3.2594489969333855
37,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,38,35:57.7,1,,,2,0,2.88,38,0,4.907,180,0,4,0,16,10,12,2,14,8,19,6,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
38,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,39,36:09.0,1,,,2,0,4.74,39,0,4.628,144,0,4,0,15,9,1,8,22,11,25,4,20,17,26,17,11,17,6,17,13.12,3.2594489969333855
39,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,40,36:19.8,1,4.970994949,0.6239949493408199,1,0,5.624,40,1,4.347,342,56,4,0,26,10,2,12,8,8,9,3,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
40,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,41,36:30.4,1,,,2,0,5.62,41,0,4.77,36,0,8,0,12,9,21,8,13,4,2,11,17,6,15,2,18,12,5,5,13.12,3.2594489969333855
41,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,42,36:41.4,1,,,2,0,1.059,42,0,4.845,162,32,6,0,23,15,11,2,13,11,28,5,24,12,19,16,20,17,1,17,13.12,3.2594489969333855
42,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,43,36:52.1,1,,,2,0,1.865,43,0,4.666,54,56,4,0,27,10,11,12,17,11,5,2,20,17,1,17,26,17,6,17,13.12,3.2594489969333855
43,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,44,37:02.7,1,,,2,0,1.567,44,0,4.869,162,-32,8,0,8,14,31,12,12,5,28,11,2,2,17,3,9,8,25,6,13.12,3.2594489969333855
44,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,45,37:14.0,1,4.8821539878845215,0.5551539878845215,1,0,2.864,45,1,4.327,270,56,8,0,30,14,12,6,21,2,2,4,3,8,17,1,29,5,25,16,13.12,3.2594489969333855
45,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,46,37:24.3,1,5.819104909896851,0.8261049098968503,1,0,2.053,46,1,4.993,270,-56,5,0,5,7,11,5,13,6,3,1,4,11,20,17,1,17,26,17,13.12,3.2594489969333855
46,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,47,37:35.4,1,4.939425706863403,0.6634257068634035,1,0,5.413,47,1,4.276,90,32,7,0,22,9,21,4,12,3,15,8,16,1,24,2,20,11,1,17,13.12,3.2594489969333855
47,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,48,37:45.6,1,5.516611099243164,0.5386110992431643,1,0,1.641,48,1,4.978,90,32,8,0,22,14,12,6,26,8,27,3,23,2,29,4,25,11,10,1,13.12,3.2594489969333855
48,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,49,37:56.2,1,,,2,0,1.159,49,0,4.909,108,0,6,0,14,14,21,6,7,4,23,11,5,5,19,12,20,17,1,17,13.12,3.2594489969333855
49,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,50,38:06.8,0,8.36463213,,4,0,2.852,50,0,4.98,324,0,7,0,20,10,31,11,12,3,3,8,15,6,29,4,24,12,20,17,13.12,3.2594489969333855
50,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,51,38:18.2,1,4.778575897216797,0.6555758972167967,1,0,6.78,51,1,4.123,162,32,5,0,23,15,1,12,14,4,18,6,25,1,20,17,26,17,11,17,13.12,3.2594489969333855
51,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,52,38:28.3,1,4.911418199539185,0.6124181995391842,1,0,5.183,52,1,4.299,252,0,7,0,18,15,21,1,12,5,3,12,8,8,17,3,19,6,20,17,13.12,3.2594489969333855
52,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,53,38:38.7,1,,,2,0,2.041,53,0,4.72,234,-32,8,0,9,15,6,2,12,1,7,6,3,11,29,12,16,5,30,4,13.12,3.2594489969333855
53,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,54,38:49.7,1,,,2,0,4.646,54,0,4.541,162,-32,7,0,8,7,11,5,2,16,22,2,29,6,24,3,5,4,20,17,13.12,3.2594489969333855
54,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,55,39:00.6,1,,,2,0,3.406,55,0,4.567,72,0,6,0,13,14,26,16,15,12,8,2,9,5,25,11,20,17,1,17,13.12,3.2594489969333855
55,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,56,39:11.2,1,4.919149160385132,0.6071491603851316,1,0,4.809,56,1,4.312,36,0,8,0,12,9,6,16,3,8,7,2,16,6,29,5,24,1,10,4,13.12,3.2594489969333855
