,SubjectID,TestType,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,index,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,TargetSource
20,1,Behaviour_MultipleSources,2023-04-24_10-22-48,21,34:11.4,1,,,2,0,4.784,0,21,0,4.002,0,90,6,31,9,13,6,3,7,16,16,18,8,20,5,1,17,26,17,top
21,1,Behaviour_MultipleSources,2023-04-24_10-22-48,22,34:21.0,1,,,2,0,4.307,0,22,0,4.916,0,0,4,11,11,28,12,29,16,5,7,20,17,1,17,26,17,11,17,front
22,1,Behaviour_MultipleSources,2023-04-24_10-22-48,23,34:31.5,1,5.538009881973267,0.6050098819732668,1,0,4.298,0,23,1,4.933,0,90,4,31,10,7,7,17,1,10,15,20,17,1,17,26,17,11,17,top
23,1,Behaviour_MultipleSources,2023-04-24_10-22-48,24,34:42.0,1,5.280941724777222,0.7639417247772213,1,0,4.137,0,24,1,4.517,252,0,5,18,14,12,6,14,5,3,12,19,13,20,17,1,17,26,17,left
24,1,Behaviour_MultipleSources,2023-04-24_10-22-48,25,34:52.0,1,5.166638851165772,0.6946388511657711,1,0,4.675,0,25,1,4.472,252,0,8,18,10,20,15,31,2,13,6,7,16,8,1,17,12,5,4,left
25,1,Behaviour_MultipleSources,2023-04-24_10-22-48,26,35:02.0,1,5.016058921813965,0.8970589218139651,1,0,4.258,0,26,1,4.119,180,0,6,16,9,1,4,22,5,3,15,9,6,25,7,20,17,26,17,back
26,1,Behaviour_MultipleSources,2023-04-24_10-22-48,27,35:11.7,1,4.930534839630127,0.5015348396301267,1,0,4.689,0,27,1,4.429,72,0,6,13,9,31,6,15,16,29,2,5,1,10,15,20,17,1,17,right
27,1,Behaviour_MultipleSources,2023-04-24_10-22-48,28,35:21.7,1,,,2,0,4.907,0,28,0,4.053,0,90,7,31,11,27,16,3,15,23,5,29,7,24,1,5,8,20,17,top
28,1,Behaviour_MultipleSources,2023-04-24_10-22-48,29,35:31.3,1,5.606478929519653,0.6604789295196536,1,0,4.245,0,29,1,4.946,180,0,6,16,9,1,1,12,8,15,4,5,13,25,6,20,17,26,17,back
29,1,Behaviour_MultipleSources,2023-04-24_10-22-48,30,35:41.8,1,,,2,0,4.453,0,30,0,4.73,0,90,7,31,11,13,13,3,4,15,7,17,16,30,15,10,12,20,17,top
30,1,Behaviour_MultipleSources,2023-04-24_10-22-48,31,35:52.1,1,,,2,0,4.971,0,31,0,4.832,0,90,6,31,3,2,15,3,12,8,6,24,13,20,2,1,17,26,17,top
31,1,Behaviour_MultipleSources,2023-04-24_10-22-48,32,36:02.5,0,4.100677967071533,,4,0,4.158,0,32,1,4.788,72,0,6,13,14,31,8,14,16,16,15,9,6,25,7,20,17,1,17,right
32,1,Behaviour_MultipleSources,2023-04-24_10-22-48,33,36:12.8,1,,,2,0,4.916,0,33,0,4.271,0,0,7,11,10,2,13,3,5,15,6,16,15,9,12,20,8,1,17,front
33,1,Behaviour_MultipleSources,2023-04-24_10-22-48,34,36:22.6,1,5.524378061294556,0.8533780612945554,1,0,4.009,0,34,1,4.671,180,0,7,16,10,1,4,2,1,14,13,15,15,18,12,20,5,26,17,back
34,1,Behaviour_MultipleSources,2023-04-24_10-22-48,35,36:32.8,1,4.812445878982544,0.6894458789825437,1,0,4.28,0,35,1,4.123,180,0,5,16,14,21,16,27,8,17,4,19,1,20,17,1,17,26,17,back
35,1,Behaviour_MultipleSources,2023-04-24_10-22-48,36,36:42.5,1,,,2,0,4.589,0,36,0,4.996,0,90,6,31,10,7,1,28,6,8,12,18,5,19,13,20,17,1,17,top
36,1,Behaviour_MultipleSources,2023-04-24_10-22-48,37,36:53.0,0,6.924108982086182,,4,0,4.871,0,37,0,4.69,72,0,8,13,14,11,1,26,15,3,2,4,4,17,13,24,7,19,12,right
37,1,Behaviour_MultipleSources,2023-04-24_10-22-48,38,37:03.4,1,,,2,0,4.769,0,38,0,4.691,0,90,8,31,3,26,6,13,7,28,4,23,1,15,16,5,8,25,5,top
38,1,Behaviour_MultipleSources,2023-04-24_10-22-48,39,37:13.6,0,3.171495199203491,,4,0,4.863,0,39,0,4.371,252,0,5,18,3,6,2,13,13,3,15,10,5,20,17,1,17,26,17,left
39,1,Behaviour_MultipleSources,2023-04-24_10-22-48,40,37:23.5,1,5.246671199798584,0.5906711997985843,1,0,4.796,0,40,1,4.656,252,0,4,18,9,21,6,22,2,4,7,20,17,1,17,26,17,11,17,left
40,1,Behaviour_MultipleSources,2023-04-24_10-22-48,41,37:33.7,1,,,2,0,4.251,0,41,0,4.104,180,0,5,16,11,26,6,2,1,29,13,5,5,20,17,1,17,11,17,back
41,1,Behaviour_MultipleSources,2023-04-24_10-22-48,42,37:43.3,1,5.569770336151123,0.9767703361511232,1,0,4.38,0,42,1,4.593,72,0,5,13,11,6,13,15,16,9,5,25,15,20,17,1,17,26,17,right
42,1,Behaviour_MultipleSources,2023-04-24_10-22-48,43,37:53.5,1,7.053303718566895,2.2663037185668946,1,0,4.465,0,43,1,4.787,180,0,8,16,11,1,12,11,8,7,13,3,5,4,4,5,16,30,15,back
43,1,Behaviour_MultipleSources,2023-04-24_10-22-48,44,38:03.9,1,5.4835309982299805,0.8555309982299804,1,0,4.013,0,44,1,4.628,180,0,4,16,14,21,1,3,4,25,2,20,17,1,17,26,17,11,17,back
44,1,Behaviour_MultipleSources,2023-04-24_10-22-48,45,38:14.0,1,,,2,0,4.463,0,45,0,4.359,72,0,5,13,14,21,1,8,6,24,5,5,7,20,17,1,17,26,17,right
45,1,Behaviour_MultipleSources,2023-04-24_10-22-48,46,38:23.9,1,5.630918025970459,0.9039180259704588,1,0,4.49,0,46,1,4.727,180,0,5,16,3,12,2,7,13,29,7,20,15,1,17,26,17,11,17,back
46,1,Behaviour_MultipleSources,2023-04-24_10-22-48,47,38:34.2,1,5.0792930126190186,0.8352930126190188,1,0,4.476,0,47,1,4.244,180,0,6,16,10,6,13,7,6,14,4,17,5,10,12,20,17,1,17,back
47,1,Behaviour_MultipleSources,2023-04-24_10-22-48,48,38:44.0,0,2.5587399005889893,,4,0,4.346,0,48,0,4.299,180,0,8,16,14,21,1,26,7,2,2,22,15,8,5,5,6,30,8,back
